x
                                Người thứ 1   Người thứ 2   Người thứ 3   Người thứ 4   Người thứ 5   Người thứ 6   Người thứ 7   Người thứ 8   Người thứ 9   Người thứ 10   Kết quả trung bình
Lần lấy mẫu giả lập thứ 26               71            45            71            73            71            55            73            71            69             73                 67.2
Lần lấy mẫu giả lập thứ 27               69            45            55            56            88            69            73            89            60             71                 67.5
Lần lấy mẫu giả lập thứ 28               55            89            60            71            69            55            56            71            71             69                 66.6
Lần lấy mẫu giả lập thứ 29               55            60            56            88            49            88            88            45            56             45                 63.0
Lần lấy mẫu giả lập thứ 30               45            69            49            73            88            60            55            49            71             88                 64.7
Lần lấy mẫu giả lập thứ 31               73            60            55            71            71            56            88            89            45             55                 66.3
Lần lấy mẫu giả lập thứ 32               60            60            89            55            55            71            89            56            88             71                 69.4
Lần lấy mẫu giả lập thứ 33               71            60            49            60            45            49            88            88            49             73                 63.2
Lần lấy mẫu giả lập thứ 34               55            60            45            69            89            49            55            89            55             56                 62.2
Lần lấy mẫu giả lập thứ 35               88            88            69            73            56            71            49            73            45             49                 66.1
Lần lấy mẫu giả lập thứ 36               71            49            56            45            73            88            49            45            88             69                 63.3
Lần lấy mẫu giả lập thứ 37               56            71            45            69            69            45            45            56            89             60                 60.5
Lần lấy mẫu giả lập thứ 38               49            73            89            56            71            49            88            89            73             45                 68.2
Lần lấy mẫu giả lập thứ 39               69            71            88            73            55            69            56            45            56             55                 63.7
Lần lấy mẫu giả lập thứ 40               55            49            49            89            69            73            71            73            49             88                 66.5
Lần lấy mẫu giả lập thứ 41               89            60            73            56            49            45            56            60            71             45                 60.4
Lần lấy mẫu giả lập thứ 42               60            89            45            55            73            71            88            71            60             73                 68.5
Lần lấy mẫu giả lập thứ 43               56            45            89            73            71            55            49            45            56             88                 62.7
Lần lấy mẫu giả lập thứ 44               73            56            60            56            49            71            55            71            60             55                 60.6
Lần lấy mẫu giả lập thứ 45               55            49            88            45            69            73            49            71            56             56                 61.1
Lần lấy mẫu giả lập thứ 46               49            60            55            89            49            49            73            89            60             88                 66.1
Lần lấy mẫu giả lập thứ 47               69            69            73            88            45            49            45            71            73             60                 64.2
Lần lấy mẫu giả lập thứ 48               56            88            88            60            73            89            56            88            56             69                 72.3
Lần lấy mẫu giả lập thứ 49               49            60            56            55            49            88            49            69            49             69                 59.3
Lần lấy mẫu giả lập thứ 50               69            45            60            71            49            55            60            69            73             73                 62.4
Lần lấy mẫu giả lập thứ 51               45            73            45            69            45            88            69            49            73             69                 62.5
Lần lấy mẫu giả lập thứ 52               71            60            73            71            73            88            71            56            73             45                 68.1
Lần lấy mẫu giả lập thứ 53               88            60            49            89            71            89            89            56            69             60                 72.0
Lần lấy mẫu giả lập thứ 54               45            71            89            55            60            45            45            88            88             89                 67.5
Lần lấy mẫu giả lập thứ 55               56            45            71            71            60            73            89            73            69             69                 67.6
Lần lấy mẫu giả lập thứ 56               49            60            89            89            49            55            56            55            45             88                 63.5
Lần lấy mẫu giả lập thứ 57               73            56            49            60            49            89            69            49            88             45                 62.7
Lần lấy mẫu giả lập thứ 58               69            69            45            71            73            45            49            49            89             89                 64.8
Lần lấy mẫu giả lập thứ 59               49            56            45            71            88            73            89            49            69             88                 67.7
Lần lấy mẫu giả lập thứ 60               71            88            49            71            55            88            49            88            73             73                 70.5
Lần lấy mẫu giả lập thứ 61               56            60            45            60            89            88            88            55            73             49                 66.3
Lần lấy mẫu giả lập thứ 62               71            55            56            71            69            73            69            56            49             69                 63.8
Lần lấy mẫu giả lập thứ 63               89            73            69            55            49            69            49            45            73             49                 62.0
Lần lấy mẫu giả lập thứ 64               55            56            60            88            56            89            88            69            55             71                 68.7
Lần lấy mẫu giả lập thứ 65               71            55            88            49            49            55            56            73            60             73                 62.9
Lần lấy mẫu giả lập thứ 66               49            56            88            60            73            73            71            60            49             88                 66.7
Lần lấy mẫu giả lập thứ 67               60            60            55            55            45            88            88            89            69             71                 68.0
Lần lấy mẫu giả lập thứ 68               73            73            55            55            89            49            45            45            73             88                 64.5
Lần lấy mẫu giả lập thứ 69               89            55            55            71            56            55            88            69            71             56                 66.5
Lần lấy mẫu giả lập thứ 70               71            49            60            55            89            89            45            73            71             88                 69.0
Lần lấy mẫu giả lập thứ 71               73            88            73            55            55            55            71            49            69             60                 64.8
Lần lấy mẫu giả lập thứ 72               73            49            60            69            71            69            55            45            49             45                 58.5
Lần lấy mẫu giả lập thứ 73               55            56            71            73            71            73            73            73            73             49                 66.7
Lần lấy mẫu giả lập thứ 74               49            60            89            69            60            56            69            88            88             49                 67.7
Lần lấy mẫu giả lập thứ 75               49            73            73            60            88            69            49            71            49             56                 63.7
Lần lấy mẫu giả lập thứ 76               60            45            71            89            73            55            49            49            45             49                 58.5
Lần lấy mẫu giả lập thứ 77               88            56            55            60            69            71            89            89            69             45                 69.1
Lần lấy mẫu giả lập thứ 78               88            71            71            56            88            45            73            69            71             56                 68.8
Lần lấy mẫu giả lập thứ 79               89            69            45            71            73            45            89            49            73             49                 65.2
Lần lấy mẫu giả lập thứ 80               56            49            73            60            56            88            56            88            45             69                 64.0
Lần lấy mẫu giả lập thứ 81               69            88            45            89            69            71            71            55            73             60                 69.0
Lần lấy mẫu giả lập thứ 82               71            73            55            69            89            60            88            69            69             73                 71.6
Lần lấy mẫu giả lập thứ 83               55            49            73            56            73            88            55            55            89             73                 66.6
Lần lấy mẫu giả lập thứ 84               88            69            73            56            45            71            71            88            55             71                 68.7
Lần lấy mẫu giả lập thứ 85               60            60            60            45            71            55            73            55            55             73                 60.7
Lần lấy mẫu giả lập thứ 86               88            45            45            49            69            71            69            71            56             89                 65.2
Lần lấy mẫu giả lập thứ 87               55            56            60            89            71            71            71            56            69             71                 66.9
Lần lấy mẫu giả lập thứ 88               55            89            89            73            55            49            73            73            49             89                 69.4
Lần lấy mẫu giả lập thứ 89               55            71            69            71            71            89            73            49            88             45                 68.1
Lần lấy mẫu giả lập thứ 90               71            73            49            60            73            69            71            88            56             45                 65.5
Lần lấy mẫu giả lập thứ 91               69            89            69            69            89            56            56            56            49             45                 64.7
Lần lấy mẫu giả lập thứ 92               49            73            73            89            49            60            73            88            73             89                 71.6
Lần lấy mẫu giả lập thứ 93               60            73            73            71            71            69            60            69            73             56                 67.5
Lần lấy mẫu giả lập thứ 94               60            49            89            88            69            89            71            60            56             45                 67.6
Lần lấy mẫu giả lập thứ 95               49            69            69            49            73            45            49            89            60             60                 61.2
Lần lấy mẫu giả lập thứ 96               89            71            45            71            55            88            71            88            89             49                 71.6
Lần lấy mẫu giả lập thứ 97               60            89            71            56            55            60            73            60            49             71                 64.4
Lần lấy mẫu giả lập thứ 98               55            88            71            89            49            60            55            45            73             89                 67.4
Lần lấy mẫu giả lập thứ 99               88            45            49            60            89            73            56            88            60             88                 69.6
Lần lấy mẫu giả lập thứ 100              73            55            88            89            71            55            56            55            71             71                 68.4
Lần lấy mẫu giả lập thứ 101              45            69            89            55            69            60            73            60            56             60                 63.6
Lần lấy mẫu giả lập thứ 102              56            49            88            55            89            88            55            89            71             56                 69.6
Lần lấy mẫu giả lập thứ 103              56            69            56            45            55            73            69            45            60             49                 57.7
Lần lấy mẫu giả lập thứ 104              71            69            56            71            71            45            56            55            73             56                 62.3
Lần lấy mẫu giả lập thứ 105              73            45            73            88            45            69            89            69            69             71                 69.1
Lần lấy mẫu giả lập thứ 106              60            69            69            71            45            73            69            88            49             71                 66.4
Lần lấy mẫu giả lập thứ 107              56            60            69            69            73            49            60            88            49             55                 62.8
Lần lấy mẫu giả lập thứ 108              49            56            69            55            73            73            69            71            71             89                 67.5
Lần lấy mẫu giả lập thứ 109              55            45            88            60            88            89            88            49            89             56                 70.7
Lần lấy mẫu giả lập thứ 110              69            71            60            69            55            60            49            69            55             71                 62.8
Lần lấy mẫu giả lập thứ 111              56            60            73            55            89            88            71            73            55             49                 66.9
Lần lấy mẫu giả lập thứ 112              71            45            71            71            55            45            45            56            56             71                 58.6
Lần lấy mẫu giả lập thứ 113              69            89            89            49            89            89            71            73            60             55                 73.3
Lần lấy mẫu giả lập thứ 114              60            49            60            55            88            55            56            71            49             60                 60.3
Lần lấy mẫu giả lập thứ 115              56            49            60            45            49            71            60            56            71             89                 60.6
Lần lấy mẫu giả lập thứ 116              60            56            89            60            49            69            89            89            49             45                 65.5
Lần lấy mẫu giả lập thứ 117              45            45            89            45            56            88            45            60            49             89                 61.1
Lần lấy mẫu giả lập thứ 118              89            88            71            60            55            71            45            88            45             45                 65.7
Lần lấy mẫu giả lập thứ 119              88            60            69            60            89            45            60            73            69             89                 70.2
Lần lấy mẫu giả lập thứ 120              69            56            69            71            69            60            71            56            55             60                 63.6
Lần lấy mẫu giả lập thứ 121              88            89            60            56            56            49            60            56            60             56                 63.0
Lần lấy mẫu giả lập thứ 122              56            89            88            69            88            71            69            89            73             55                 74.7
Lần lấy mẫu giả lập thứ 123              56            88            73            69            71            69            56            56            49             45                 63.2
Lần lấy mẫu giả lập thứ 124              56            60            45            56            88            73            73            89            60             71                 67.1
Lần lấy mẫu giả lập thứ 125              49            60            49            73            71            60            49            49            73             69                 60.2
Lần lấy mẫu giả lập thứ 126              60            49            60            56            55            89            88            71            88             45                 66.1
Lần lấy mẫu giả lập thứ 127              49            56            69            89            60            60            55            88            69             60                 65.5
Lần lấy mẫu giả lập thứ 128              55            69            60            55            45            49            49            89            69             88                 62.8
Lần lấy mẫu giả lập thứ 129              60            45            73            56            55            73            71            55            60             56                 60.4
Lần lấy mẫu giả lập thứ 130              56            45            89            89            88            49            56            88            73             71                 70.4
Lần lấy mẫu giả lập thứ 131              60            55            88            89            89            73            60            60            88             55                 71.7
Lần lấy mẫu giả lập thứ 132              55            89            60            71            88            69            71            55            60             69                 68.7
Lần lấy mẫu giả lập thứ 133              71            55            69            88            88            56            56            49            45             55                 63.2
Lần lấy mẫu giả lập thứ 134              60            55            73            73            45            89            88            60            88             69                 70.0
Lần lấy mẫu giả lập thứ 135              73            89            73            89            55            49            73            88            49             69                 70.7
Lần lấy mẫu giả lập thứ 136              71            56            73            71            49            60            69            56            69             71                 64.5
Lần lấy mẫu giả lập thứ 137              71            56            69            69            71            89            73            55            56             49                 65.8
Lần lấy mẫu giả lập thứ 138              89            71            88            89            45            45            73            60            55             89                 70.4
Lần lấy mẫu giả lập thứ 139              71            73            49            89            73            71            56            49            88             56                 67.5
Lần lấy mẫu giả lập thứ 140              88            49            88            56            71            73            60            56            89             55                 68.5
Lần lấy mẫu giả lập thứ 141              73            71            71            45            60            56            89            55            73             88                 68.1
Lần lấy mẫu giả lập thứ 142              60            89            89            49            71            60            45            49            55             45                 61.2
Lần lấy mẫu giả lập thứ 143              49            49            89            56            73            69            73            45            55             49                 60.7
Lần lấy mẫu giả lập thứ 144              49            60            73            55            88            56            45            56            88             71                 64.1
Lần lấy mẫu giả lập thứ 145              56            69            49            69            73            71            49            88            55             49                 62.8
Lần lấy mẫu giả lập thứ 146              49            49            55            60            69            89            73            71            56             49                 62.0
Lần lấy mẫu giả lập thứ 147              69            71            60            49            73            89            71            73            45             69                 66.9
Lần lấy mẫu giả lập thứ 148              89            69            73            69            69            73            45            71            69             55                 68.2
Lần lấy mẫu giả lập thứ 149              49            60            88            73            55            88            71            55            89             49                 67.7
Lần lấy mẫu giả lập thứ 150              60            60            49            55            49            71            45            73            55             45                 56.2
Lần lấy mẫu giả lập thứ 151              60            71            73            49            71            73            55            55            69             88                 66.4
Lần lấy mẫu giả lập thứ 152              73            60            55            69            69            60            56            56            69             73                 64.0
Lần lấy mẫu giả lập thứ 153              69            71            49            88            56            88            69            69            45             69                 67.3
Lần lấy mẫu giả lập thứ 154              69            89            60            55            71            89            49            60            73             88                 70.3
Lần lấy mẫu giả lập thứ 155              89            73            69            88            55            56            71            71            49             73                 69.4
Lần lấy mẫu giả lập thứ 156              55            89            56            71            60            69            49            69            60             49                 62.7
Lần lấy mẫu giả lập thứ 157              49            49            88            88            49            49            49            55            55             55                 58.6
Lần lấy mẫu giả lập thứ 158              71            55            69            69            73            89            88            56            55             60                 68.5
Lần lấy mẫu giả lập thứ 159              55            55            88            89            49            71            55            49            69             69                 64.9
Lần lấy mẫu giả lập thứ 160              73            55            89            69            71            88            69            89            49             55                 70.7
Lần lấy mẫu giả lập thứ 161              56            49            56            88            56            45            60            49            69             56                 58.4
Lần lấy mẫu giả lập thứ 162              56            55            69            49            71            88            71            69            56             73                 65.7
Lần lấy mẫu giả lập thứ 163              88            73            89            69            89            45            88            73            71             71                 75.6
Lần lấy mẫu giả lập thứ 164              71            73            89            56            55            45            56            56            88             89                 67.8
Lần lấy mẫu giả lập thứ 165              45            71            73            56            55            69            73            49            49             56                 59.6
Lần lấy mẫu giả lập thứ 166              89            69            69            89            88            60            88            55            71             73                 75.1
Lần lấy mẫu giả lập thứ 167              56            56            55            60            71            69            55            88            49             49                 60.8
Lần lấy mẫu giả lập thứ 168              69            45            45            60            55            73            49            69            89             89                 64.3
Lần lấy mẫu giả lập thứ 169              56            88            60            88            89            56            89            60            88             89                 76.3
Lần lấy mẫu giả lập thứ 170              49            49            60            73            71            88            45            73            73             73                 65.4
Lần lấy mẫu giả lập thứ 171              56            69            45            69            71            71            49            69            60             45                 60.4
Lần lấy mẫu giả lập thứ 172              88            60            88            89            69            89            49            45            55             60                 69.2
Lần lấy mẫu giả lập thứ 173              71            73            49            89            55            69            88            89            56             88                 72.7
Lần lấy mẫu giả lập thứ 174              56            73            45            56            56            69            71            89            88             89                 69.2
Lần lấy mẫu giả lập thứ 175              69            56            60            71            49            55            71            88            60             73                 65.2
Lần lấy mẫu giả lập thứ 176              71            89            49            69            60            60            60            89            49             89                 68.5
Lần lấy mẫu giả lập thứ 177              45            45            89            49            69            55            49            71            71             89                 63.2
Lần lấy mẫu giả lập thứ 178              49            89            73            88            69            49            88            56            56             45                 66.2
Lần lấy mẫu giả lập thứ 179              69            69            89            60            69            88            49            89            69             73                 72.4
Lần lấy mẫu giả lập thứ 180              88            69            89            88            49            73            71            69            69             89                 75.4
Lần lấy mẫu giả lập thứ 181              55            45            45            49            49            60            89            55            69             60                 57.6
Lần lấy mẫu giả lập thứ 182              88            60            89            73            56            60            56            45            88             73                 68.8
Lần lấy mẫu giả lập thứ 183              55            73            55            69            60            49            55            49            49             73                 58.7
Lần lấy mẫu giả lập thứ 184              45            55            49            69            56            88            89            49            45             69                 61.4
Lần lấy mẫu giả lập thứ 185              71            55            71            60            49            88            71            56            49             60                 63.0
Lần lấy mẫu giả lập thứ 186              45            71            55            71            73            89            71            56            45             73                 64.9
Lần lấy mẫu giả lập thứ 187              89            88            45            69            88            55            55            55            89             89                 72.2
Lần lấy mẫu giả lập thứ 188              89            45            88            73            71            49            55            88            89             45                 69.2
Lần lấy mẫu giả lập thứ 189              56            73            89            55            69            60            73            49            71             60                 65.5
Lần lấy mẫu giả lập thứ 190              60            89            60            49            71            45            49            88            71             73                 65.5
Lần lấy mẫu giả lập thứ 191              89            60            89            55            69            73            45            45            71             88                 68.4
Lần lấy mẫu giả lập thứ 192              45            60            45            71            73            88            73            73            89             88                 70.5
Lần lấy mẫu giả lập thứ 193              56            89            89            88            69            60            89            45            73             60                 71.8
Lần lấy mẫu giả lập thứ 194              69            56            73            88            73            73            69            45            88             71                 70.5
Lần lấy mẫu giả lập thứ 195              69            73            60            45            69            60            89            60            73             89                 68.7
Lần lấy mẫu giả lập thứ 196              60            49            60            45            73            71            73            89            56             56                 63.2
Lần lấy mẫu giả lập thứ 197              71            73            88            71            89            45            71            45            88             49                 69.0
Lần lấy mẫu giả lập thứ 198              45            60            88            69            69            89            89            73            89             49                 72.0
Lần lấy mẫu giả lập thứ 199              56            60            56            55            45            56            89            71            60             88                 63.6
Lần lấy mẫu giả lập thứ 200              45            88            45            88            49            56            49            88            56             45                 60.9
Lần lấy mẫu giả lập thứ 201              73            49            89            88            45            73            69            45            89             60                 68.0
Lần lấy mẫu giả lập thứ 202              55            49            73            89            89            45            56            73            71             45                 64.5
Lần lấy mẫu giả lập thứ 203              69            45            56            45            73            71            49            56            55             55                 57.4
Lần lấy mẫu giả lập thứ 204              56            73            71            71            49            69            69            71            55             73                 65.7
Lần lấy mẫu giả lập thứ 205              89            55            88            71            55            71            56            73            56             45                 65.9
Lần lấy mẫu giả lập thứ 206              60            45            88            56            71            49            49            56            45             88                 60.7
Lần lấy mẫu giả lập thứ 207              55            56            88            88            73            60            49            89            89             60                 70.7
Lần lấy mẫu giả lập thứ 208              60            60            89            45            56            55            69            71            71             55                 63.1
Lần lấy mẫu giả lập thứ 209              49            45            49            60            89            56            55            89            73             49                 61.4
Lần lấy mẫu giả lập thứ 210              89            71            89            45            56            45            88            49            73             73                 67.8
Lần lấy mẫu giả lập thứ 211              69            56            89            89            71            60            88            56            71             88                 73.7
Lần lấy mẫu giả lập thứ 212              73            49            88            49            45            55            45            56            73             55                 58.8
Lần lấy mẫu giả lập thứ 213              89            60            55            73            88            73            88            49            89             88                 75.2
Lần lấy mẫu giả lập thứ 214              71            73            49            69            49            55            88            69            88             73                 68.4
Lần lấy mẫu giả lập thứ 215              73            45            55            88            60            73            60            45            45             56                 60.0
Lần lấy mẫu giả lập thứ 216              45            69            60            69            49            88            60            60            88             73                 66.1
Lần lấy mẫu giả lập thứ 217              89            60            49            89            89            89            60            88            73             73                 75.9
Lần lấy mẫu giả lập thứ 218              45            56            55            60            55            60            69            71            45             56                 57.2
Lần lấy mẫu giả lập thứ 219              56            69            69            71            69            88            49            56            73             45                 64.5
